username,firstName,lastName,stageName,country,dateJoined,phone,email,genre,dayRank,monthRank,weekRank,totalDislikes,totalLikes,dateOfBirth
bwildor0,Bernetta,Wildor,Lady Stardust,Thailand,2023-03-27,803-473-8366,bwildor0@bloglines.com,metal,7720,5184,5261,835200,251947,2012-10-01
stomblett1,Sharon,Tomblett,The Funky Beat,Madagascar,2022-12-27,115-100-1602,stomblett1@moonfruit.com,punk,5756,8473,6822,570165,704646,1955-02-12
torton2,Tybi,Orton,The Groovy Guru,Philippines,2023-10-25,875-948-6098,torton2@accuweather.com,indie,8163,8493,2155,719264,959852,1946-09-04
isteuart3,Izzy,Steuart,The Funky Beat,China,2023-04-24,226-405-2607,isteuart3@bbb.org,blues,4157,4848,3125,736445,458401,1995-02-02
abattams4,Agneta,Battams,Captain Rhythm,Yemen,2023-05-31,334-899-4775,abattams4@godaddy.com,reggae,5463,7546,7597,826355,885924,1947-01-30
mmargiotta5,Miquela,Margiotta,The Melodic Muse,Hungary,2023-10-28,371-328-4547,mmargiotta5@multiply.com,pop,3284,9380,1400,331756,608125,1974-04-18
kperch6,Ky,Perch,The Funky Beat,Peru,2023-01-02,366-341-8472,kperch6@springer.com,hip hop,2701,3873,5477,988596,374420,1945-05-18
koatley7,Katrinka,Oatley,MC Groove,Costa Rica,2023-01-23,651-269-7340,koatley7@bravesites.com,r&b,5524,6190,1889,780466,951998,2022-10-08
rgarmey8,Ree,Garmey,Lady Stardust,Poland,2022-12-25,302-604-4903,rgarmey8@com.com,classical,1544,6427,3188,799596,312159,2021-06-20
smcphater9,Stephana,McPhater,The Soulful Serenade,Malaysia,2023-05-25,257-656-8953,smcphater9@smh.com.au,reggae,909,2520,3047,854261,780111,2004-09-13
spartona,Siffre,Parton,The Funky Beat,Philippines,2022-12-07,983-115-2525,spartona@hibu.com,folk,3015,4311,2442,319003,769206,1957-08-01
dmackayb,Deeyn,MacKay,DJ Sparkle,Greece,2023-11-20,266-805-5798,dmackayb@slideshare.net,country,9091,3717,8914,196143,352762,2006-02-27
rharrowingc,Reuven,Harrowing,Lady Stardust,Albania,2023-08-09,159-810-3389,rharrowingc@com.com,hip hop,883,265,9994,170425,541829,1964-07-23
