username,lastName,firstName,stageName,country,dateJoined,phone,email,dayRank,monthRank,weekRank,totalDislikes,totalLikes,dateOfBirth
1,Southall,Rosalyn,rsouthall0,China,11/22/2023,557-522-2417,rsouthall0@w3.org,1513,2108,1920,659074,786038,1/10/2005
2,Bramwell,Sadye,sbramwell1,France,7/22/2023,116-764-9368,sbramwell1@rambler.ru,9225,1684,3431,168810,851007,11/3/2010
3,Syrett,Marlee,msyrett2,Thailand,2/2/2023,460-149-7067,msyrett2@naver.com,8382,9022,3215,182313,367193,3/12/1962
4,Yanin,Luca,lyanin3,Russia,7/4/2023,999-593-9684,lyanin3@addthis.com,3716,1512,2112,202990,407246,2/2/1972
5,Jarrelt,Alfie,ajarrelt4,Ireland,1/24/2023,315-851-6727,ajarrelt4@topsy.com,9578,4445,6571,630953,606359,3/12/1931
6,Borell,Spenser,sborell5,Yemen,10/18/2023,902-271-1643,sborell5@arstechnica.com,2716,8311,7469,338096,892792,9/20/1964
7,Tarbath,Jan,jtarbath6,France,5/4/2023,200-622-0340,jtarbath6@skype.com,3860,3979,8730,988380,105124,6/10/1985
8,Milthorpe,Elinor,emilthorpe7,Spain,10/9/2023,638-939-4091,emilthorpe7@chronoengine.com,7882,5659,8909,224555,827303,5/31/1960
9,Cauley,Carol,ccauley8,Indonesia,1/29/2023,235-981-0026,ccauley8@mlb.com,8306,2364,8335,595840,174612,6/11/2018
10,Fahey,Fey,ffahey9,China,2/16/2023,610-518-6602,ffahey9@acquirethisname.com,4240,5714,6593,615591,416108,3/5/1947
11,Gaze,Stillman,sgazea,China,1/12/2023,895-914-9906,sgazea@scientificamerican.com,6898,1264,6282,536300,395959,8/12/2011
12,Ronchetti,Christy,cronchettib,Mozambique,7/14/2023,219-804-0984,cronchettib@wordpress.org,3169,6428,402,192356,499959,11/2/2007
13,Daelman,Darlleen,ddaelmanc,Democratic Republic of the Congo,6/20/2023,454-809-6896,ddaelmanc@hud.gov,3826,877,1246,516187,99940,7/26/2015
14,Cullagh,Jaimie,jcullaghd,Russia,1/5/2023,317-430-4993,jcullaghd@google.co.uk,6358,2768,8447,224635,609542,2/26/1963
