username,firstName,lastName,stageName,country,dateJoined,phone,email,genre,dayRank,monthRank,weekRank,totalDislikes,totalLikes,dateOfBirth
cstreater0,Conrade,Streater,The Electric Dream,China,10/1/2023,466-823-8654,cstreater0@nymag.com,punk,7006,4494,5081,583128,236449,5/17/1956
jvagg1,Jasper,Vagg,The Funky Beat,Sweden,4/22/2023,260-562-9046,jvagg1@amazon.co.uk,rap,923,906,5362,568613,197570,3/17/1980
klindenberg2,Koo,Lindenberg,The Electric Dream,China,9/1/2023,641-316-7891,klindenberg2@newsvine.com,soul,674,6536,4294,901663,146912,1/31/1987
mmccalister3,Milli,McCalister,Captain Rhythm,France,12/13/2022,418-959-1694,mmccalister3@bravesites.com,dance,9259,8666,6749,446380,185268,6/21/1983
mjenicke4,Michael,Jenicke,The Electric Dream,Philippines,1/31/2023,606-228-1658,mjenicke4@taobao.com,gospel,5673,7509,8247,422793,777833,12/20/1942
mdolphin5,Micaela,Dolphin,The Melodic Muse,China,8/31/2023,609-250-8321,mdolphin5@cargocollective.com,alternative,487,696,9826,456043,988195,7/9/1962
ggriffe6,Glad,Griffe,DJ Sparkle,Brazil,10/23/2023,129-985-1723,ggriffe6@so-net.ne.jp,punk,1337,5082,145,101224,31486,6/6/2021
sayshford7,Selle,Ayshford,The Melodic Muse,China,12/15/2022,680-993-1525,sayshford7@shop-pro.jp,alternative,5076,4317,2836,236200,682003,7/18/1949
scraufurd8,Skippie,Craufurd,The Electric Dream,France,3/12/2023,776-899-3838,scraufurd8@zimbio.com,electronic,4712,1141,9264,907134,316246,11/13/2013
cilyin9,Cherye,Ilyin,The Melodic Muse,Ireland,6/4/2023,186-997-6005,cilyin9@cisco.com,folk,4322,4657,1748,643643,250648,2/14/2015
lfynesa,Lorenzo,Fynes,The Harmonic Hype,Azerbaijan,3/15/2023,324-644-7754,lfynesa@yellowbook.com,soul,8518,6068,8118,408775,816551,4/18/1976
abozworthb,Archaimbaud,Bozworth,The Melodic Muse,Albania,4/12/2023,203-253-3472,abozworthb@nsw.gov.au,metal,9523,3961,9787,282791,334627,11/29/1948
djeannenetc,Daria,Jeannenet,The Groovy Guru,United States,12/5/2022,314-123-4776,djeannenetc@prlog.org,gospel,5562,1747,3127,934107,703842,4/6/1979
hpatleyd,Hobard,Patley,DJ Sparkle,China,10/14/2023,515-676-6597,hpatleyd@creativecommons.org,folk,615,3247,8683,763879,519272,9/22/1956
swoolhousee,Silvana,Woolhouse,The Harmonic Hype,Armenia,10/11/2023,346-362-8823,swoolhousee@fastcompany.com,r&b,9529,7337,606,151882,979988,10/1/1966
fpuncherf,Fionnula,Puncher,Lady Stardust,Brazil,4/2/2023,253-772-5766,fpuncherf@delicious.com,dance,5655,8805,7591,533247,640141,3/8/1970
dhawseg,Dalis,Hawse,MC Groove,Lebanon,1/6/2023,814-853-3404,dhawseg@google.co.jp,rap,5327,1540,1360,836087,831362,8/1/1995
omcphelimyh,Orin,McPhelimy,DJ Sparkle,United States,11/6/2023,609-586-7313,omcphelimyh@wix.com,hip hop,8494,8770,5204,538196,696293,8/8/1944
tstonehami,Tony,Stoneham,The Soulful Serenade,Poland,3/13/2023,484-523-8519,tstonehami@youtube.com,electronic,7751,9647,3472,725787,536789,6/14/1943
sduckerj,Sharity,Ducker,The Funky Beat,China,12/3/2022,456-724-2669,sduckerj@fc2.com,latin,9604,8690,9714,851015,989008,6/29/1955
dshavek,Delcina,Shave,MC Groove,China,4/21/2023,280-297-0044,dshavek@sun.com,rap,8770,8878,2781,32974,155901,5/23/1964
sbulliventl,Sondra,Bullivent,DJ Sparkle,Philippines,1/2/2023,774-501-5486,sbulliventl@bbb.org,punk,8004,4782,4045,926705,979881,2/23/2021
